Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Wii Sports,Wii,2006,Sports,76,8.0,E
Mario Kart Wii,Wii,2008,Racing,82,8.3,E
Wii Sports Resort,Wii,2009,Sports,80,8.0,E
New Super Mario Bros.,DS,2006,Platform,89,8.5,E
Wii Play,Wii,2006,Misc,58,6.6,E
New Super Mario Bros. Wii,Wii,2009,Platform,87,8.4,E
Mario Kart DS,DS,2005,Racing,91,8.6,E
Wii Fit,Wii,2007,Sports,80,7.7,E
Kinect Adventures!,X360,2010,Misc,61,6.3,E
Wii Fit Plus,Wii,2009,Sports,80,7.4,E
Grand Theft Auto V,PS3,2013,Action,97,8.2,M
Grand Theft Auto: San Andreas,PS2,2004,Action,95,9.0,M
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,77,7.9,E
Grand Theft Auto V,X360,2013,Action,97,8.1,M
Grand Theft Auto: Vice City,PS2,2002,Action,95,8.7,M
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,77,7.1,E
Gran Turismo 3: A-Spec,PS2,2001,Racing,95,8.4,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,88,3.4,M
Call of Duty: Black Ops,X360,2010,Shooter,87,6.3,M
Call of Duty: Black Ops II,PS3,2012,Shooter,83,5.3,M
Call of Duty: Black Ops II,X360,2012,Shooter,83,4.8,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,94,6.3,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,88,3.2,M
Grand Theft Auto III,PS2,2001,Action,97,8.5,M
Super Smash Bros. Brawl,Wii,2008,Fighting,93,8.9,T
Mario Kart 7,3DS,2011,Racing,85,8.2,E
Call of Duty: Black Ops,PS3,2010,Shooter,88,6.4,M
Grand Theft Auto V,PS4,2014,Action,97,8.3,M
Animal Crossing: Wild World,DS,2005,Simulation,86,8.7,E
Halo 3,X360,2007,Shooter,94,7.8,M
Gran Turismo 4,PS2,2004,Racing,89,8.5,E
Super Mario Galaxy,Wii,2007,Platform,97,8.9,E
Grand Theft Auto IV,X360,2008,Action,98,7.9,M
Super Mario 3D Land,3DS,2011,Platform,90,8.4,E
Gran Turismo 5,PS3,2010,Racing,84,7.5,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,94,6.3,M
Grand Theft Auto IV,PS3,2008,Action,98,7.5,M
Call of Duty: Ghosts,X360,2013,Shooter,73,2.6,M
Just Dance 3,Wii,2011,Misc,74,7.8,E10+
New Super Mario Bros. 2,3DS,2012,Platform,78,7.2,E
Halo: Reach,X360,2010,Shooter,91,7.9,M
Halo 4,X360,2012,Shooter,87,7.0,M
Just Dance 2,Wii,2010,Misc,74,7.3,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,71,2.6,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,94,8.4,M
Animal Crossing: New Leaf,3DS,2012,Simulation,88,8.7,E
Mario Party DS,DS,2007,Misc,72,7.8,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,96,8.4,M
FIFA 16,PS4,2015,Sports,82,4.3,E
Halo 2,XB,2004,Shooter,95,8.2,M
Wii Party,Wii,2010,Misc,68,7.4,E
Mario Party 8,Wii,2007,Misc,62,6.3,E
FIFA Soccer 13,PS3,2012,Action,88,6.6,E
Final Fantasy X,PS2,2001,Role-Playing,92,8.7,T
The Sims 3,PC,2009,Simulation,86,7.6,T
Pokémon Platinum Version,DS,2008,Role-Playing,83,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,88,7.6,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,83,5.7,M
FIFA 17,PS4,2016,Sports,85,5.0,E
Super Mario Galaxy 2,Wii,2010,Platform,97,9.1,E
Call of Duty: World at War,X360,2008,Shooter,84,7.6,M
Battlefield 3,X360,2011,Shooter,84,7.4,M
Need for Speed Underground,PS2,2003,Racing,85,8.6,E
Just Dance,Wii,2009,Misc,49,8.0,E10+
Battlefield 3,PS3,2011,Shooter,85,7.5,M
Fallout 4,PS4,2015,Role-Playing,87,6.5,M
The Legend of Zelda: Twilight Princess,Wii,2006,Action,95,9.0,T
Mario Kart 8,WiiU,2014,Racing,88,9.1,E
Super Smash Bros. Melee,GC,2001,Fighting,92,9.1,T
Need for Speed Underground 2,PS2,2004,Racing,82,8.6,E
Medal of Honor: Frontline,PS2,2002,Shooter,88,8.5,T
Just Dance 4,Wii,2012,Misc,74,7.3,E10+
Gears of War 2,X360,2008,Shooter,93,7.7,M
Uncharted 3: Drake's Deception,PS3,2011,Action,92,8.3,T
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,94,8.4,M
Uncharted 2: Among Thieves,PS3,2009,Action,96,8.8,T
Big Brain Academy,DS,2005,Misc,74,7.4,E
Red Dead Redemption,PS3,2010,Action,95,8.8,M
FIFA 14,PS3,2013,Sports,86,4.3,E
Assassin's Creed III,PS3,2012,Action,85,6.9,M
Donkey Kong Country Returns,Wii,2010,Platform,87,8.6,E
Halo: Combat Evolved,XB,2001,Shooter,97,8.6,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,92,6.4,M
Pokémon Emerald Version,GBA,2004,Role-Playing,76,9.0,E
Kingdom Hearts,PS2,2002,Role-Playing,85,8.8,E
Halo 3: ODST,X360,2009,Shooter,83,7.1,M
Red Dead Redemption,X360,2010,Action,95,9.0,M
Super Mario Sunshine,GC,2002,Platform,92,8.6,E
World of Warcraft,PC,2004,Role-Playing,93,7.3,T
Gears of War 3,X360,2011,Shooter,91,7.8,M
Kinect Sports,X360,2010,Sports,73,7.4,E10+
Gears of War,X360,2006,Shooter,94,8.3,M
FIFA 15,PS4,2014,Sports,82,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,96,8.7,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,94,8.7,M
Final Fantasy XII,PS2,2006,Role-Playing,92,7.6,T
The Last of Us,PS3,2013,Action,95,9.1,M
LittleBigPlanet,PS3,2008,Platform,95,6.8,E
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,87,8.8,E10+
Destiny,PS4,2014,Shooter,76,6.1,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,80,8.9,E10+
Cooking Mama,DS,2006,Simulation,67,7.2,E
Assassin's Creed II,PS3,2009,Action,91,8.6,M
Assassin's Creed,X360,2007,Adventure,81,7.7,M
Forza Motorsport 3,X360,2009,Racing,92,8.0,E
Super Mario Advance,GBA,2001,Platform,84,7.8,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,81,8.7,T
Batman: Arkham City,PS3,2011,Action,96,8.6,T
Grand Theft Auto V,XOne,2014,Action,97,7.9,M
Mario Kart: Super Circuit,GBA,2001,Racing,93,8.3,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,66,7.1,E
Call of Duty: World at War,PS3,2008,Shooter,85,7.6,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,93,7.9,T
Final Fantasy XIII,PS3,2009,Role-Playing,83,7.3,T
Final Fantasy IX,PS,2000,Role-Playing,94,8.9,T
Assassin's Creed III,X360,2012,Action,84,6.7,M
Final Fantasy X-2,PS2,2003,Role-Playing,85,6.6,T
Call of Duty: Advanced Warfare,XOne,2014,Shooter,81,5.4,M
Assassin's Creed II,X360,2009,Action,90,8.8,M
New Super Mario Bros. U,WiiU,2012,Platform,84,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,89,8.8,T
Professor Layton and the Curious Village,DS,2007,Puzzle,85,8.6,E
FIFA Soccer 13,X360,2012,Action,90,6.1,E
Diablo III,PC,2012,Role-Playing,88,4.0,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,68,7.6,T
Guitar Hero II,PS2,2006,Misc,92,8.5,T
Fable III,X360,2010,Role-Playing,80,6.5,M
Resident Evil 5,PS3,2009,Action,84,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,90,8.0,E
FIFA Soccer 11,PS3,2010,Sports,89,8.0,E
Grand Theft Auto: Vice City Stories,PSP,2006,Action,86,8.0,M
Guitar Hero III: Legends of Rock,PS2,2007,Misc,82,8.2,T
Link's Crossbow Training,Wii,2007,Shooter,68,7.1,T
Fallout 3,X360,2008,Role-Playing,93,8.5,M
Uncharted: Drake's Fortune,PS3,2007,Action,88,8.1,T
Madden NFL 06,PS2,2005,Sports,88,8.0,E
StarCraft II: Wings of Liberty,PC,2010,Strategy,93,8.2,T
Assassin's Creed,PS3,2007,Adventure,81,7.3,M
God of War III,PS3,2010,Action,92,8.7,M
LEGO Star Wars: The Complete Saga,DS,2007,Action,80,5.4,E
Driver 2,PS,2000,Action,62,7.7,T
Batman: Arkham City,X360,2011,Action,94,8.7,T
Tony Hawk's Pro Skater 2,PS,2000,Sports,98,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,82,8.2,T
Animal Crossing: City Folk,Wii,2008,Simulation,73,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,86,8.1,T
The Legend of Zelda: The Wind Waker,GC,2002,Action,96,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,86,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,86,8.4,E
Forza Motorsport 4,X360,2011,Racing,91,8.2,E
Madden NFL 2005,PS2,2004,Sports,91,7.9,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,85,7.9,T
Madden NFL 07,PS2,2006,Sports,84,8.2,E
Halo 5: Guardians,XOne,2015,Shooter,84,6.4,T
Spider-Man: The Movie,PS2,2002,Action,76,7.9,E
Call of Duty: Infinite Warfare,PS4,2016,Shooter,77,3.4,M
God of War,PS2,2005,Action,94,8.9,M
Splatoon,WiiU,2015,Shooter,81,8.5,E10+
Nintendo Land,WiiU,2012,Misc,77,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,97,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,86,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,94,8.7,M
Need for Speed: Most Wanted,PS2,2005,Racing,82,9.1,T
Michael Jackson: The Experience,Wii,2010,Misc,56,8.3,E10+
Resistance: Fall of Man,PS3,2006,Shooter,86,8.1,M
Kingdom Hearts II,PS2,2005,Role-Playing,87,9.0,E10+
Super Mario 3D World,WiiU,2013,Platform,93,9.0,E
Fable II,X360,2008,Role-Playing,89,6.5,M
Namco Museum,GBA,2001,Misc,79,7.3,E
Batman: Arkham Asylum,PS3,2009,Action,91,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,91,9.3,M
Assassin's Creed: Revelations,PS3,2011,Action,80,7.5,M
Fallout 4,XOne,2015,Role-Playing,88,6.2,M
FIFA 14,X360,2013,Sports,84,4.2,E
Daxter,PSP,2006,Platform,85,8.7,E10+
FIFA Soccer 06,PS2,2005,Sports,80,7.8,E
EyeToy Play,PS2,2003,Misc,80,7.5,E
Gran Turismo 5 Prologue,PS3,2007,Racing,80,7.1,E
Assassin's Creed: Revelations,X360,2011,Action,80,7.2,M
Street Fighter IV,PS3,2009,Fighting,94,7.3,T
Madden NFL 2003,PS2,2002,Sports,95,7.7,E
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,91,7.9,T
Battlefield 1,PS4,2016,Shooter,88,8.4,M
God of War II,PS2,2007,Action,93,8.9,M
Fallout: New Vegas,X360,2010,Role-Playing,84,8.1,M
Forza Motorsport 2,X360,2007,Racing,90,8.3,E
Carnival Games,Wii,2007,Misc,56,6.0,E
Watch Dogs,PS4,2014,Action,80,6.3,M
Tekken Tag Tournament,PS2,2000,Fighting,85,8.5,T
Far Cry 4,PS4,2014,Shooter,85,7.7,M
Left 4 Dead 2,X360,2009,Shooter,89,8.6,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,92,9.2,M
Assassin's Creed: Unity,PS4,2014,Action,70,4.9,M
Batman: Arkham Knight,PS4,2015,Action,87,7.6,M
